title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
Miraculous: Tales Of Ladybug & Cat Noir;2015;Older Kids;1 Season;'Action-Adventure', 'Animation', 'Fantasy';September 15, 2021;7.7;"Superheroes Ladybug and Cat Noir protect the city.                                        
                      Two Parisian teenagers, Marinette Dupain-Cheng and Adrien Agreste, transform into the superheroes Ladybug and Cat Noir, to protect the city from supervillains.                    


Read More...";disney +;"'Action-Adventure', 'Animation', 'Fantasy', Older Kids, Superheroes Ladybug and Cat Noir protect the city.                                        
                      Two Parisian teenagers, Marinette Dupain-Cheng and Adrien Agreste, transform into the superheroes Ladybug and Cat Noir, to protect the city from supervillains.                    


Read More..."
Twenty Something;2021;Older Kids;11 min;'Animation', 'Family';September 10, 2021;7.2;"Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.                                        
                      Adulting can be hard. Some days you're nailing it, while other days, you're just a stack of kids hiding in a trench coat hoping no one notices. Gia finds herself in this exact scenario the night of her 21st birthday. This is a story about the insecurities of adulting and how we're all just faking it till we make it. Directed by Aphton Corbin, story artist on Soul. Produced by Erik Langley.                    


Read More...";disney +;"'Animation', 'Family', Older Kids, Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.                                        
                      Adulting can be hard. Some days you're nailing it, while other days, you're just a stack of kids hiding in a trench coat hoping no one notices. Gia finds herself in this exact scenario the night of her 21st birthday. This is a story about the insecurities of adulting and how we're all just faking it till we make it. Directed by Aphton Corbin, story artist on Soul. Produced by Erik Langley.                    


Read More..."
Happier Than Ever: A Love Letter to Los Angeles;2021;Teens;66 min;'Concert Film', 'Music';September 3, 2021;7.1;"Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""                                        
                      GRAMMY® Award-winning and chart-topping artist Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles,"" an original concert film. Fresh off the heels of her brand-new album, ""Happier Than Ever,"" the special features an intimate performance of every song in the album's sequential order from the stage of the legendary Hollywood Bowl. Directed by Robert Rodriguez and Oscar®-winner Patrick Osborne, the special also includes animated elements, taking viewers on a dreamlike journey through Billie’s hometown of Los Angeles and its most iconic backdrops. “Happier Than Ever: A Love Letter to Los Angeles” also features guest appearances from singer-songwriter FINNEAS, the Los Angeles Children's Chorus and the Los Angeles Philharmonic, conducted by Gustavo Dudamel, and world-renowned Brazilian guitarist, Romero Lubambo.                    


Read More...";disney +;"'Concert Film', 'Music', Teens, Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""                                        
                      GRAMMY® Award-winning and chart-topping artist Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles,"" an original concert film. Fresh off the heels of her brand-new album, ""Happier Than Ever,"" the special features an intimate performance of every song in the album's sequential order from the stage of the legendary Hollywood Bowl. Directed by Robert Rodriguez and Oscar®-winner Patrick Osborne, the special also includes animated elements, taking viewers on a dreamlike journey through Billie’s hometown of Los Angeles and its most iconic backdrops. “Happier Than Ever: A Love Letter to Los Angeles” also features guest appearances from singer-songwriter FINNEAS, the Los Angeles Children's Chorus and the Los Angeles Philharmonic, conducted by Gustavo Dudamel, and world-renowned Brazilian guitarist, Romero Lubambo.                    


Read More..."
Alaska Animal Rescue;2019;Older Kids;"
                    New Season Added:";'Animals & Nature', 'Docuseries', 'Family';September 1, 2021;8.9;"Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.                                        
                      Alaskan heroes rescue, rehabilitate, research and celebrate the wild animals of America's last frontier. Representing three renowned conservation centers, these animal lovers work by land, sea and air in one of the most challenging places on our planet protecting Alaska's wildlife.                    


Read More...";disney +;"'Animals & Nature', 'Docuseries', 'Family', Older Kids, Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.                                        
                      Alaskan heroes rescue, rehabilitate, research and celebrate the wild animals of America's last frontier. Representing three renowned conservation centers, these animal lovers work by land, sea and air in one of the most challenging places on our planet protecting Alaska's wildlife.                    


Read More..."
Dug Days;2021;Older Kids;1 Season;'Animation', 'Comedy', 'Family';September 1, 2021;8.1;"“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”                                        
                      Pixar Animation Studios’ “Dug Days” is a series of shorts that follows the humorous misadventures of Dug, the lovable dog from Disney and Pixar’s “Up.” Each short features everyday events that occur in and around Dug's backyard, all through the exciting (and slightly distorted) eyes of our favorite talking dog. Written and directed by Academy Award® nominee and Emmy® Award winner Bob Peterson and produced by Kim Collins.                    


Read More...";disney +;"'Animation', 'Comedy', 'Family', Older Kids, “Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”                                        
                      Pixar Animation Studios’ “Dug Days” is a series of shorts that follows the humorous misadventures of Dug, the lovable dog from Disney and Pixar’s “Up.” Each short features everyday events that occur in and around Dug's backyard, all through the exciting (and slightly distorted) eyes of our favorite talking dog. Written and directed by Academy Award® nominee and Emmy® Award winner Bob Peterson and produced by Kim Collins.                    


Read More..."
Cruella;2021;Teens;137 min;'Crime', 'Drama';August 27, 2021;7.2;"Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.                                        
                      Academy Award® winner Emma Stone (“La La Land”) stars in Disney’s “Cruella,” an all-new live-action feature film about the rebellious early days of one of cinemas most notorious – and notoriously fashionable – villains, the legendary Cruella de Vil. “Cruella,” which is set in 1970s London amidst the punk rock revolution, follows a young grifter named Estella, a clever and creative girl determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute, played by two-time Oscar® winner Emma Thompson (“Howards End,” “Sense & Sensibility”). But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella. Disney’s “Cruella” is directed by Craig Gillespie (“I Tonya”) from a screenplay by Dana Fox and Tony McNamara, story by Aline Brosh McKenna and Kelly Marcel & Steve Zissis. It was produced by Andrew Gunn (“Freaky Friday”), Marc Platt (“Mary Poppins Returns”) and Kristin Burr (“Christopher Robin”), with Emma Stone, Michelle Wright, Jared LeBoff and Glenn Close serving as executive producers. Two-time Oscar®- winning costume designer Jenny Beavan (“Mad Max: Fury Road,” “A Room with a View”) creates the dazzling and imaginative costumes, which take on a life of their own. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More...";disney +;"'Crime', 'Drama', Teens, Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.                                        
                      Academy Award® winner Emma Stone (“La La Land”) stars in Disney’s “Cruella,” an all-new live-action feature film about the rebellious early days of one of cinemas most notorious – and notoriously fashionable – villains, the legendary Cruella de Vil. “Cruella,” which is set in 1970s London amidst the punk rock revolution, follows a young grifter named Estella, a clever and creative girl determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute, played by two-time Oscar® winner Emma Thompson (“Howards End,” “Sense & Sensibility”). But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella. Disney’s “Cruella” is directed by Craig Gillespie (“I Tonya”) from a screenplay by Dana Fox and Tony McNamara, story by Aline Brosh McKenna and Kelly Marcel & Steve Zissis. It was produced by Andrew Gunn (“Freaky Friday”), Marc Platt (“Mary Poppins Returns”) and Kristin Burr (“Christopher Robin”), with Emma Stone, Michelle Wright, Jared LeBoff and Glenn Close serving as executive producers. Two-time Oscar®- winning costume designer Jenny Beavan (“Mad Max: Fury Road,” “A Room with a View”) creates the dazzling and imaginative costumes, which take on a life of their own. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
Marvel One-Shot: All Hail the King;2014;Teens;14 min;'Comedy', 'Drama', 'Thriller';August 27, 2021;7.2;"Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.                                        
                      After the events of Iron Man 3, Trevor Slattery is an infamous icon. He’s also locked up in a high-security prison. Luckily, his newfound profile has brought him celebrity and protection on the inside – and the actor has gladly agreed to an in-depth interview with a documentary filmmaker.                    


Read More...";disney +;"'Comedy', 'Drama', 'Thriller', Teens, Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.                                        
                      After the events of Iron Man 3, Trevor Slattery is an infamous icon. He’s also locked up in a high-security prison. Luckily, his newfound profile has brought him celebrity and protection on the inside – and the actor has gladly agreed to an in-depth interview with a documentary filmmaker.                    


Read More..."
X-Men;2000;Teens;105 min;'Action-Adventure', 'Family', 'Science Fiction';August 13, 2021;7.4;"The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them.                                        
                      The X-Men, a group of mutants with extraordinary powers, wage a fight against both intolerance, and a fellow band of radical mutants intent on exterminating the human race.                    


Read More...";disney +;"'Action-Adventure', 'Family', 'Science Fiction', Teens, The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them.                                        
                      The X-Men, a group of mutants with extraordinary powers, wage a fight against both intolerance, and a fellow band of radical mutants intent on exterminating the human race.                    


Read More..."
What If...?;2021;Teens;1 Season;'Action-Adventure', 'Animation', 'Anthology';August 11, 2021;7.4;"“What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.                                        
                      “What If…?” flips the script on the MCU, reimagining famous events from the films in unexpected ways. Marvel Studios’ first animated series focuses on different heroes from the MCU, featuring a voice cast that includes a host of stars who reprise their roles. The series is directed by Bryan Andrews; AC Bradley is head writer. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More...";disney +;"'Action-Adventure', 'Animation', 'Anthology', Teens, “What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.                                        
                      “What If…?” flips the script on the MCU, reimagining famous events from the films in unexpected ways. Marvel Studios’ first animated series focuses on different heroes from the MCU, featuring a voice cast that includes a host of stars who reprise their roles. The series is directed by Bryan Andrews; AC Bradley is head writer. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
Disney The Owl House;2020;Older Kids;"
                    New Season Added:";'Action-Adventure', 'Animation', 'Anime';July 21, 2021;8.1;"Luz stumbles upon a portal to a magical new world.                                        
                      Luz, a self-assured teenage human girl, accidentally stumbles upon a portal to a magical new world where she befriends a rebellious witch, Eda, and an adorably tiny warrior, King. Despite not having magical abilities, Luz pursues her dream of becoming a witch by serving as Eda's apprentice at the Owl House and ultimately finds a new family in an unlikely setting.                    


Read More...";disney +;"'Action-Adventure', 'Animation', 'Anime', Older Kids, Luz stumbles upon a portal to a magical new world.                                        
                      Luz, a self-assured teenage human girl, accidentally stumbles upon a portal to a magical new world where she befriends a rebellious witch, Eda, and an adorably tiny warrior, King. Despite not having magical abilities, Luz pursues her dream of becoming a witch by serving as Eda's apprentice at the Owl House and ultimately finds a new family in an unlikely setting.                    


Read More..."
We Bought a Zoo;2011;Older Kids;125 min;'Animals & Nature', 'Drama', 'Family';July 16, 2021;7.2;"A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.                                        
                      Matt Damon and Scarlett Johansson co-star in this family film about a single dad who tries to give his family a fresh start by moving to a home situated in the middle of a zoo.                    


Read More...";disney +;"'Animals & Nature', 'Drama', 'Family', Older Kids, A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.                                        
                      Matt Damon and Scarlett Johansson co-star in this family film about a single dad who tries to give his family a fresh start by moving to a home situated in the middle of a zoo.                    


Read More..."
Monsters at Work;2021;Kids;1 Season;'Animation', 'Comedy', 'Family';July 7, 2021;7.1;"""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester.                                        
                      Tylor Tuskmon just graduated top of his class, Scarum Cum Laude, from Monsters University School of Scaring. Ever since he was a kid and terrified the entire 4th grade at the Shockington Elementary Scare Play, Tylor has dreamed of becoming a Scarer like his idol James P. Sullivan. And now that dream is about to come true… or not. The day he arrives at Monsters Incorporated to begin his dream job as a Scarer, he learns that scaring is out and laughing is in! They don’t want Scarers… now they want Jokesters! But all is not lost. Tylor is temporarily reassigned to the Monsters, Inc. Facilities Team (MIFT) where he must work alongside a misfit bunch of mechanics, including an old friend from MU. This change shatters Tylor’s dream… but he sets his sights on a new goal: figuring out how to be funny and becoming a Jokester. “Monsters at Work” tells the story of Tylor Tuskmon and his dream to become a Jokester, as well as his misadventures with MIFT, the crew that keeps Monsters Incorporated running.                    


Read More...";disney +;"'Animation', 'Comedy', 'Family', Kids, ""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester.                                        
                      Tylor Tuskmon just graduated top of his class, Scarum Cum Laude, from Monsters University School of Scaring. Ever since he was a kid and terrified the entire 4th grade at the Shockington Elementary Scare Play, Tylor has dreamed of becoming a Scarer like his idol James P. Sullivan. And now that dream is about to come true… or not. The day he arrives at Monsters Incorporated to begin his dream job as a Scarer, he learns that scaring is out and laughing is in! They don’t want Scarers… now they want Jokesters! But all is not lost. Tylor is temporarily reassigned to the Monsters, Inc. Facilities Team (MIFT) where he must work alongside a misfit bunch of mechanics, including an old friend from MU. This change shatters Tylor’s dream… but he sets his sights on a new goal: figuring out how to be funny and becoming a Jokester. “Monsters at Work” tells the story of Tylor Tuskmon and his dream to become a Jokester, as well as his misadventures with MIFT, the crew that keeps Monsters Incorporated running.                    


Read More..."
Running Wild with Bear Grylls;2019;Older Kids;"
                    New Season Added:";'Action-Adventure', 'Reality', 'Survival';June 25, 2021;7.5;"Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.                                        
                      World-renowned survivalist Bear Grylls returns to the wild with some of Hollywood’s most beloved celebrities for a no-holds-barred journey through some of the most extreme environments Mother Nature has to offer.                    


Read More...";disney +;"'Action-Adventure', 'Reality', 'Survival', Older Kids, Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.                                        
                      World-renowned survivalist Bear Grylls returns to the wild with some of Hollywood’s most beloved celebrities for a no-holds-barred journey through some of the most extreme environments Mother Nature has to offer.                    


Read More..."
The Mysterious Benedict Society;2021;Older Kids;1 Season;'Action-Adventure', 'Family';June 25, 2021;7.5;"Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.                                        
                      After winning a scholarship competition, four gifted orphans are recruited by the peculiar Mr. Benedict for a dangerous mission to save the world from a global crisis known as The Emergency. Reynie, Sticky, Kate, and Constance must infiltrate the mysterious L.I.V.E. Institute to discover the truth behind the crisis. When the headmaster, the sophisticated Dr. Curtain, appears to be behind this worldwide panic, the kids of The Mysterious Benedict Society must devise a plan to defeat him.                    


Read More...";disney +;"'Action-Adventure', 'Family', Older Kids, Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.                                        
                      After winning a scholarship competition, four gifted orphans are recruited by the peculiar Mr. Benedict for a dangerous mission to save the world from a global crisis known as The Emergency. Reynie, Sticky, Kate, and Constance must infiltrate the mysterious L.I.V.E. Institute to discover the truth behind the crisis. When the headmaster, the sophisticated Dr. Curtain, appears to be behind this worldwide panic, the kids of The Mysterious Benedict Society must devise a plan to defeat him.                    


Read More..."
Luca;2021;Older Kids;101 min;'Animation', 'Buddy', 'Coming of Age';June 18, 2021;7.5;"Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.                                        
                      Set in a beautiful seaside town on the Italian Riviera, Disney and Pixar’s original feature film “Luca” is a coming-of-age story about one young boy experiencing an unforgettable summer filled with gelato, pasta and endless scooter rides. Luca (voice of Jacob Tremblay) shares these adventures with his newfound best friend, Alberto (voice of Jack Dylan Grazer), but all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface. “Luca” is directed by Academy Award® nominee Enrico Casarosa (“La Luna”) and produced by Andrea Warren (“Lava,” “Cars 3”).                    


Read More...";disney +;"'Animation', 'Buddy', 'Coming of Age', Older Kids, Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.                                        
                      Set in a beautiful seaside town on the Italian Riviera, Disney and Pixar’s original feature film “Luca” is a coming-of-age story about one young boy experiencing an unforgettable summer filled with gelato, pasta and endless scooter rides. Luca (voice of Jacob Tremblay) shares these adventures with his newfound best friend, Alberto (voice of Jack Dylan Grazer), but all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface. “Luca” is directed by Academy Award® nominee Enrico Casarosa (“La Luna”) and produced by Andrea Warren (“Lava,” “Cars 3”).                    


Read More..."
Zenimation;2020;Kids;"
                    New Season Added:";'Animation', 'Anthology', 'Family';June 11, 2021;7.5;"Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation.                                        
                      Unplug, relax, and refresh your senses for a moment of mindfulness with Walt Disney Animation Studios’ Zenimation - an animated soundscape experience. Whether it’s baby Moana being called by the ocean, Anna and Kristoff walking through an icy forest, or Baymax and Hiro Hamada flying over San Fransokyo, these iconic scenes become an aural experience like no other with the sounds of ocean waves, an icy forest and soaring flight. Zenimation pays tribute to both the visual and sound artists who have created Walt Disney Animation Studios’ legacy of films. Created and edited by David Bess. From Walt Disney Animation Studios.                    


Read More...";disney +;"'Animation', 'Anthology', 'Family', Kids, Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation.                                        
                      Unplug, relax, and refresh your senses for a moment of mindfulness with Walt Disney Animation Studios’ Zenimation - an animated soundscape experience. Whether it’s baby Moana being called by the ocean, Anna and Kristoff walking through an icy forest, or Baymax and Hiro Hamada flying over San Fransokyo, these iconic scenes become an aural experience like no other with the sounds of ocean waves, an icy forest and soaring flight. Zenimation pays tribute to both the visual and sound artists who have created Walt Disney Animation Studios’ legacy of films. Created and edited by David Bess. From Walt Disney Animation Studios.                    


Read More..."
Loki;2021;Teens;1 Season;'Action-Adventure', 'Fantasy', 'Science Fiction';June 9, 2021;8.2;"The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.                                        
                      In Marvel Studios’ “Loki,” the mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.” Kate Herron directs and Michael Waldron is head writer.                    


Read More...";disney +;"'Action-Adventure', 'Fantasy', 'Science Fiction', Teens, The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.                                        
                      In Marvel Studios’ “Loki,” the mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.” Kate Herron directs and Michael Waldron is head writer.                    


Read More..."
Gordon Ramsay: Uncharted;2018;Teens;"
                    New Season Added:";'Action-Adventure', 'Docuseries', 'Lifestyle';June 4, 2021;7.6;"Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.                                        
                      Gordon Ramsay is on a mission to immerse himself in new cultures, dishes and flavors. From Peru, Laos and Morocco to Hawaii, Alaska and New Zealand, Ramsay roars through valleys, dives into oceans, hikes through forests and climbs mountains as he travels the globe in his never-ending pursuit of culinary inspiration.                    


Read More...";disney +;"'Action-Adventure', 'Docuseries', 'Lifestyle', Teens, Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.                                        
                      Gordon Ramsay is on a mission to immerse himself in new cultures, dishes and flavors. From Peru, Laos and Morocco to Hawaii, Alaska and New Zealand, Ramsay roars through valleys, dives into oceans, hikes through forests and climbs mountains as he travels the globe in his never-ending pursuit of culinary inspiration.                    


Read More..."
Raya and the Last Dragon;2021;Older Kids;112 min;'Action-Adventure', 'Animation', 'Family';June 4, 2021;7.2;"When evil threatens Kumandra, Raya must find the last dragon to save it.                                        
                      Walt Disney Animation Studios’ ""Raya and the Last Dragon"" travels to the fantasy world of Kumandra, where humans and dragons lived together in harmony long ago. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people. However, along her journey, she’ll learn that it’ll take more than a dragon to save the world – it’s going to take trust and teamwork as well. ""Raya and the Last Dragon"" features the voices of Kelly Marie Tran as Raya, a warrior whose wit is as sharp as her blade, and Awkwafina as the magical, mythical, self-deprecating dragon named Sisu. Characters also include a street-savvy 10-year-old entrepreneur named Boun, the formidable giant Tong and a thieving toddler Noi with her band of Ongis.                    


Read More...";disney +;"'Action-Adventure', 'Animation', 'Family', Older Kids, When evil threatens Kumandra, Raya must find the last dragon to save it.                                        
                      Walt Disney Animation Studios’ ""Raya and the Last Dragon"" travels to the fantasy world of Kumandra, where humans and dragons lived together in harmony long ago. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people. However, along her journey, she’ll learn that it’ll take more than a dragon to save the world – it’s going to take trust and teamwork as well. ""Raya and the Last Dragon"" features the voices of Kelly Marie Tran as Raya, a warrior whose wit is as sharp as her blade, and Awkwafina as the magical, mythical, self-deprecating dragon named Sisu. Characters also include a street-savvy 10-year-old entrepreneur named Boun, the formidable giant Tong and a thieving toddler Noi with her band of Ongis.                    


Read More..."
Us Again;2021;Kids;7 min;'Animation', 'Dance', 'Family';June 4, 2021;7.8;"An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.                                        
                      Set in a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night. The years fade away as the joy of dancing propels them across the exciting cityscape of their youth and revives fond memories and ambitions. Director/writer Zach Parrish (head of animation on “Big Hero 6,” and director of Disney Animation’s “Short Circuit” film, “Puddles,” now airing on Disney+) taps into personal themes, family observations, and a love of dance, and joins forces with award winning choreographers/dancers Keone and Mari Madrid (“World of Dance” champions), and acclaimed composer Pinar Toprak (“Captain Marvel”), to create this experimental musical fantasy. Brad Simonsen, associate producer on “Big Hero 6,” “Zootopia” and “Ralph Breaks the Internet,” served as producer. Jennifer Lee, chief creative officer for Walt Disney Animation Studios, executive produced.                    


Read More...";disney +;"'Animation', 'Dance', 'Family', Kids, An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.                                        
                      Set in a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night. The years fade away as the joy of dancing propels them across the exciting cityscape of their youth and revives fond memories and ambitions. Director/writer Zach Parrish (head of animation on “Big Hero 6,” and director of Disney Animation’s “Short Circuit” film, “Puddles,” now airing on Disney+) taps into personal themes, family observations, and a love of dance, and joins forces with award winning choreographers/dancers Keone and Mari Madrid (“World of Dance” champions), and acclaimed composer Pinar Toprak (“Captain Marvel”), to create this experimental musical fantasy. Brad Simonsen, associate producer on “Big Hero 6,” “Zootopia” and “Ralph Breaks the Internet,” served as producer. Jennifer Lee, chief creative officer for Walt Disney Animation Studios, executive produced.                    


Read More..."
Bluey;2019;Kids;"
                    New Season Added:";'Animation', 'Kids';May 28, 2021;9.7;"Bluey is a six year-old Blue Heeler dog, who turns everyday family life into adventures.                                        
                      This funny and honest look at modern family life celebrates how imaginative play helps shape healthy children. Australian blue heeler puppy Bluey has a boundless imagination and loves to turn daily life into playful adventures. She and little sister Bingo throw themselves into exploring their world, using gameplay to conquer their fears and try out adult roles. And they like nothing more than pulling their parents – particularly Dad – into their fun and games. Mum Chilli’s gone back to work and Dad Bandit juggles childcare with working from home. But though he might think he’s in charge, the girls are definitely calling the shots when it comes to playtime – and pretty much everything else!                    


Read More...";disney +;"'Animation', 'Kids', Kids, Bluey is a six year-old Blue Heeler dog, who turns everyday family life into adventures.                                        
                      This funny and honest look at modern family life celebrates how imaginative play helps shape healthy children. Australian blue heeler puppy Bluey has a boundless imagination and loves to turn daily life into playful adventures. She and little sister Bingo throw themselves into exploring their world, using gameplay to conquer their fears and try out adult roles. And they like nothing more than pulling their parents – particularly Dad – into their fun and games. Mum Chilli’s gone back to work and Dad Bandit juggles childcare with working from home. But though he might think he’s in charge, the girls are definitely calling the shots when it comes to playtime – and pretty much everything else!                    


Read More..."
Ice Road Rescue;2015;Teens;"
                    New Season Added:";'Docuseries', 'Reality', 'Survival';May 21, 2021;8.0;"Ice Road Rescue follows Norwegian towing teams who rescue trucks and trailers on icy mountain roads.                                        
                      Each winter, snowstorms turn the mountain passes of Norway into some of the most dangerous roads in Europe, blocking vital trade routes and in extreme cases, causing fatal accidents. Helping prevent disaster is down to a rugged group of specialized salvage truck drivers, who rely on their ingenuity, wit and bravery to pull off the perfect ""Ice Road Rescue"" and ensure another payday.                    


Read More...";disney +;"'Docuseries', 'Reality', 'Survival', Teens, Ice Road Rescue follows Norwegian towing teams who rescue trucks and trailers on icy mountain roads.                                        
                      Each winter, snowstorms turn the mountain passes of Norway into some of the most dangerous roads in Europe, blocking vital trade routes and in extreme cases, causing fatal accidents. Helping prevent disaster is down to a rugged group of specialized salvage truck drivers, who rely on their ingenuity, wit and bravery to pull off the perfect ""Ice Road Rescue"" and ensure another payday.                    


Read More..."
Schoolhouse Rock!;1973;Kids;6 Seasons;'Animals & Nature', 'Animation', 'Kids';May 17, 2021;8.3;"Musical shorts teach kids history, grammar, and math.                                        
                      From ""Three is a Magic Number"" to ""I'm Just a Bill"" and ""Lolly, Lolly"" - bring along a sing-along of topical tunes that still keep popping into the heads of devoted Schoolhouse Rock fans.                    


Read More...";disney +;"'Animals & Nature', 'Animation', 'Kids', Kids, Musical shorts teach kids history, grammar, and math.                                        
                      From ""Three is a Magic Number"" to ""I'm Just a Bill"" and ""Lolly, Lolly"" - bring along a sing-along of topical tunes that still keep popping into the heads of devoted Schoolhouse Rock fans.                    


Read More..."
High School Musical: The Musical: The Series;2019;Older Kids;"
                    New Season Added:";'Comedy', 'Coming of Age', 'Drama';May 14, 2021;7.2;"For the first time ever, East High Wildcats put on a production of High School Musical: The Musical!                                        
                      Welcome to East High’s first-ever production of High School Musical: The Musical, where a new era of high school kids and their new drama teacher attempt to remake history on stage, nearly 15 years after the Disney Original Movie was filmed there. Taking on the roles of Gabriella, Troy and the rest of the original characters are Nini, a rising star fresh out of theater camp; Ricky, Nini’s skateboarding ex-boyfriend who joins the theater department to win her back; E.J., Nini’s posh and easy-on-the-eyes new love interest; and Gina, the ambitious new transfer student with skeletons in her closet and theater in her bones. Performing new material and remakes of classic HSM songs, these aspiring actors from East High are determined to bring their meta-version of High School Musical to the stage, along with all the real-life drama that wasn’t in the original script!                    


Read More...";disney +;"'Comedy', 'Coming of Age', 'Drama', Older Kids, For the first time ever, East High Wildcats put on a production of High School Musical: The Musical!                                        
                      Welcome to East High’s first-ever production of High School Musical: The Musical, where a new era of high school kids and their new drama teacher attempt to remake history on stage, nearly 15 years after the Disney Original Movie was filmed there. Taking on the roles of Gabriella, Troy and the rest of the original characters are Nini, a rising star fresh out of theater camp; Ricky, Nini’s skateboarding ex-boyfriend who joins the theater department to win her back; E.J., Nini’s posh and easy-on-the-eyes new love interest; and Gina, the ambitious new transfer student with skeletons in her closet and theater in her bones. Performing new material and remakes of classic HSM songs, these aspiring actors from East High are determined to bring their meta-version of High School Musical to the stage, along with all the real-life drama that wasn’t in the original script!                    


Read More..."
